Product Name,Price,Image Link,Desciption,Discount
ASUS Core i5 (11th Gen) (4 GB DDR4/1 TB/256 GB SSD/Wind...,"₹59,990",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Black, 409 mm x 540 mm x 165 mm, 5.4 kg","₹76,990"
ZOONIS intel Core 2 Duo 3.0 Core 2 Duo (4 GB DDR2/500 G...,"₹10,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹15,999"
Assembled ALL IN PC Core i5 (4 GB DDR3/500 GB/Windows 1...,"₹22,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,BLAOCK,"₹25,999"
Gandiva Professional Core i3 (8 GB DDR4/Windows 10 Pro/...,"₹28,391",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹64,027"
Gandiva Professional Core i5 (4 GB DDR3/500 GB/Windows ...,"₹27,318",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹79,097"
TECH- Assemblers INTEL Core i5 (8 GB DDR3/500 GB/Window...,"₹29,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹25,550"
HP G5 Core i3 (4 GB DDR4/1 TB/Windows 10 Pro/20 Inch Sc...,"₹49,898",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,"Black, 42 cm x 48 cm x 26 cm, 6.2 kg","₹60,899"
brozzo I3 Core i3 (4 GB DDR3/500 GB/Windows 10 Pro/18.5...,"₹16,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹29,999"
Assembled 5 2310 Core i5 (8 GB DDR3/500 GB/Windows 10 P...,"₹19,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹29,999"
"Assembled 8GB RAM, 1TB HDD, Free DOS Core i7 (10th Gen)...","₹60,499",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹62,000"
Gandiva Professional Core i3 (4 GB DDR3/2 TB/Windows 10...,"₹37,407",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹60,000"
Gandiva Professional Core i3 (8 GB DDR3/Windows 10 Pro/...,"₹25,842",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹71,986"
Gandiva Professional Core i3 (8 GB DDR3/1 TB/Windows 10...,"₹37,588",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹65,539"
iball Ultra slim Baby Series Core i7 (8 GB DDR3/2 TB/Wi...,"₹48,999",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Multicolor,"₹57,495"
ZOONIS BUDGET SERIES Core i5 (6 GB DDR3/500 GB/Windows ...,"₹28,499",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹29,999"
ZOONIS I5 Core i5 (6 GB DDR3/500 GB/Windows 10 Pro/15.6...,"₹28,499",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹29,999"
brozzo C2D M15 RAM2GB Core 2 Duo (2 GB DDR3/500 GB/Wind...,"₹15,498",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Black,"₹19,999"
iball Ultra Slim 342 Core i7 (16 GB DDR4/1 TB/Windows 1...,"₹99,990",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Multicolor,"₹1,80,000"
HP All-in-One 24-df Ryzen 3 Dual Core (8 GB DDR4/1 TB/2...,"₹50,000",https://rukminim1.flixcart.com/image/612/612/klscivk0/allinone-desktop/p/n/v/24-df0215in-hp-original-imagyu5z9kwmhk2f.jpeg?q=70,Jet Black,"₹55,000"
